age,sex,yes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
25,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
25,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
26,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
27,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
28,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
29,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
30,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
31,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
32,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,female,0.67,0.67,0.686878705513499,0.702894105876055,0.718090357067701,0.7325093565963979,0.7461908590134471,0.759172585520556,0.771490327970787,0.783178047550082,0.794267968411489,0.804790666520205,0.8147751539544229,0.8242489588943829,0.833238201520178,0.8417676660275799,0.8498608689604109,0.857540124047895,0.864826603725729,0.8717403975104959,0.8783005673883709,0.8845252003708309,1.0
33,male,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
