age,gamma
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.31947
21,0.31947
22,0.31947
23,0.31947
24,0.31947
25,0.31947
26,0.31947
27,0.31947
28,0.31947
29,0.31947
30,0.31947
31,0.31947
32,0.31947
33,0.31947
34,0.31947
35,0.31947
36,0.31947
37,0.31947
38,0.31947
39,0.31947
40,0.31947
41,0.31947
42,0.31947
43,0.31947
44,0.31947
45,0.31947
46,0.31947
47,0.31947
48,0.31947
49,0.31947
50,0.31947
51,0.31424827955668
52,0.30911190786093606
53,0.304059489891953
54,0.29908965343045696
55,0.294201048686026
56,0.28939234793049295
57,0.28466224513733895
58,0.28000945562697804
59,0.275432715717846
60,0.27093078238318896
61,0.266502432913458
62,0.26214646458422897
63,0.25786169432954603
64,0.253646958420604
65,0.24950111214968398
66,0.24542302951925501
67,0.241411602936157
68,0.23746574291078304
69,0.233584377761175
70,0.22976645332196102
71,0.226010932658047
72,0.22231679578299102
73,0.218683039381972
74,0.21510867653930102
75,0.211592736470371
76,0.211592736470371
77,0.211592736470371
78,0.211592736470371
79,0.211592736470371
80,0.211592736470371
81,0.211592736470371
82,0.211592736470371
83,0.211592736470371
84,0.211592736470371
85,0.211592736470371
86,0.211592736470371
87,0.211592736470371
88,0.211592736470371
89,0.211592736470371
90,0.211592736470371
91,0.211592736470371
92,0.211592736470371
93,0.211592736470371
94,0.211592736470371
95,0.211592736470371
96,0.211592736470371
97,0.211592736470371
98,0.211592736470371
99,0.211592736470371
100,0.211592736470371
101,0.211592736470371
102,0.211592736470371
103,0.211592736470371
104,0.211592736470371
105,0.211592736470371
106,0.211592736470371
107,0.211592736470371
108,0.211592736470371
109,0.211592736470371
110,0.211592736470371
