age,gamma
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.05417
21,0.05417
22,0.05417
23,0.05417
24,0.05417
25,0.05417
26,0.05417
27,0.05417
28,0.05417
29,0.05417
30,0.05417
31,0.05417
32,0.05417
33,0.05417
34,0.05417
35,0.05417
36,0.05417
37,0.05417
38,0.05417
39,0.05417
40,0.05417
41,0.05417
42,0.05417
43,0.05417
44,0.05417
45,0.05417
46,0.05417
47,0.05417
48,0.05417
49,0.05417
50,0.05417
51,0.05417
52,0.05417
53,0.05417
54,0.05417
55,0.05417
56,0.05417
57,0.05417
58,0.05417
59,0.05417
60,0.05417
61,0.05417
62,0.05417
63,0.05417
64,0.05417
65,0.05417
66,0.05417
67,0.05417
68,0.05417
69,0.05417
70,0.05417
71,0.05417
72,0.05417
73,0.05417
74,0.05417
75,0.05417
76,0.05417
77,0.05417
78,0.05417
79,0.05417
80,0.05417
81,0.05417
82,0.05417
83,0.05417
84,0.05417
85,0.05417
86,0.05417
87,0.05417
88,0.05417
89,0.05417
90,0.05417
91,0.05417
92,0.05417
93,0.05417
94,0.05417
95,0.05417
96,0.05417
97,0.05417
98,0.05417
99,0.05417
100,0.05417
101,0.05417
102,0.05417
103,0.05417
104,0.05417
105,0.05417
106,0.05417
107,0.05417
108,0.05417
109,0.05417
110,0.05417
