age,gamma
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.024811
21,0.024811
22,0.024811
23,0.024811
24,0.024811
25,0.024811
26,0.024811
27,0.024811
28,0.024811
29,0.024811
30,0.024811
31,0.024811
32,0.024811
33,0.024811
34,0.024811
35,0.024811
36,0.024811
37,0.024811
38,0.024811
39,0.024811
40,0.024811
41,0.024811
42,0.024811
43,0.024811
44,0.024811
45,0.024811
46,0.024811
47,0.024811
48,0.024811
49,0.024811
50,0.024811
51,0.024811
52,0.024811
53,0.024811
54,0.024811
55,0.024811
56,0.024811
57,0.024811
58,0.024811
59,0.024811
60,0.024811
61,0.024811
62,0.024811
63,0.024811
64,0.024811
65,0.024811
66,0.024811
67,0.024811
68,0.024811
69,0.024811
70,0.024811
71,0.024811
72,0.024811
73,0.024811
74,0.024811
75,0.024811
76,0.024811
77,0.024811
78,0.024811
79,0.024811
80,0.024811
81,0.024811
82,0.024811
83,0.024811
84,0.024811
85,0.024811
86,0.024811
87,0.024811
88,0.024811
89,0.024811
90,0.024811
91,0.024811
92,0.024811
93,0.024811
94,0.024811
95,0.024811
96,0.024811
97,0.024811
98,0.024811
99,0.024811
100,0.024811
101,0.024811
102,0.024811
103,0.024811
104,0.024811
105,0.024811
106,0.024811
107,0.024811
108,0.024811
109,0.024811
110,0.024811
