sex,age,mortality per 1 rate,1-year,5-year,$/notlastyr,$/lastyr,pYLD rate,APC in all-cause mortality
male,0,0.004389620301558,,,5789.55063240592,88787.0768032559,0.020673773572342,-0.014767567387536
male,1,0.000340057813105,,,1422.50860118622,32470.8393643274,0.026408648652329,-0.017495926294417
male,2,0.000200020002667,,114970,1422.50860118622,32470.8393643274,0.026408648652329,-0.017499864957297
male,3,0.000170014451638,,,1422.50860118622,32470.8393643274,0.026408648652329,-0.017498715087213
male,4,0.000140009800915,,,1422.50860118622,32470.8393643274,0.026408648652329,-0.017499354434065
male,5,0.000110006050444,,,698.962629979631,31050.2487817237,0.033744440029258,-0.017783562632778
male,6,9.00040502430509E-05,,,698.962629979631,31050.2487817237,0.033744440029258,-0.017701362060157
male,7,7.00024501143538E-05,,110470,698.962629979631,31050.2487817237,0.033744440029258,-0.017575906684417
male,8,6.00018000719522E-05,,,698.962629979631,31050.2487817237,0.033744440029258,-0.017434563803044
male,9,5.00012500416627E-05,,,698.962629979631,31050.2487817237,0.033744440029258,-0.017272827022101
male,10,6.00018000719522E-05,,,678.053330615838,23270.6155188094,0.033969168097081,-0.018364066454075
male,11,7.00024501143538E-05,,,678.053330615838,23270.6155188094,0.033969168097081,-0.018257802932068
male,12,0.000100005000333,,114700,678.053330615838,23270.6155188094,0.033969168097081,-0.018184481949279
male,13,0.000150011251125,,,678.053330615838,23270.6155188094,0.033969168097081,-0.018184503134192
male,14,0.000210022053088,,,678.053330615838,23270.6155188094,0.033969168097081,-0.018184524319105
male,15,0.000290042058131,,,713.806669278198,15461.3140677147,0.063435467908899,-0.017500037724696
male,16,0.000390076069779,,,713.806669278198,15461.3140677147,0.063435467908899,-0.01750004715587
male,17,0.000520135246888,,128580,713.806669278198,15461.3140677147,0.063435467908899,-0.017500051871456
male,18,0.000660217895879,,,713.806669278198,15461.3140677147,0.063435467908899,-0.01750006130263
male,19,0.000790312214444,,,713.806669278198,15461.3140677147,0.063435467908899,-0.017500070733804
male,20,0.000870378669644,,,753.707141666224,8444.32600642048,0.070267881670667,-0.017698256785328
male,21,0.000890396285147,,,753.707141666224,8444.32600642048,0.070267881670667,-0.017698262925313
male,22,0.000850361454839,,137550,753.707141666224,8444.32600642048,0.070267881670667,-0.01769827213529
male,23,0.000770296602266,,,753.707141666224,8444.32600642048,0.070267881670667,-0.01769828441526
male,24,0.00069023815956,,,753.707141666224,8444.32600642048,0.070267881670667,-0.017698293625238
male,25,0.000610186125695,,,758.274520446879,13581.1451427783,0.080296910946388,-0.018186844787529
male,26,0.000560156858563,,,758.274520446879,13581.1451427783,0.080296910946388,-0.018187049356239
male,27,0.000540145852509,,125330,758.274520446879,13581.1451427783,0.080296910946388,-0.018187396233616
male,28,0.000540145852509,,,758.274520446879,13581.1451427783,0.080296910946388,-0.018187920996828
male,29,0.000560156858563,,,758.274520446879,13581.1451427783,0.080296910946388,-0.018188672564479
male,30,0.000600180072032,,,822.889135725317,14102.7654071172,0.077917053619352,-0.017985012457282
male,31,0.000650211341586,,,822.889135725317,14102.7654071172,0.077917053619352,-0.017985949623496
male,32,0.000700245114393,,111990,822.889135725317,14102.7654071172,0.077917053619352,-0.01798688678971
male,33,0.000760288946409,,,822.889135725317,14102.7654071172,0.077917053619352,-0.017987795556948
male,34,0.000810328227255,,,822.889135725317,14102.7654071172,0.077917053619352,-0.017988647526233
male,35,0.000870378669644,,,900.273102031509,13426.7919966922,0.083072396704244,-0.017916732950604
male,36,0.000930432718306,,,900.273102031509,13426.7919966922,0.083072396704244,-0.017917176277233
male,37,0.000990490373673,,118830,900.273102031509,13426.7919966922,0.083072396704244,-0.017917722878815
male,38,0.001050551636179,,,900.273102031509,13426.7919966922,0.083072396704244,-0.017918556635144
male,39,0.001120627668703,,,900.273102031509,13426.7919966922,0.083072396704244,-0.01791973296205
male,40,0.001200720576519,,,1031.40286729113,18379.0912941714,0.085695322350853,-0.020723303409364
male,41,0.001280819899722,,,1031.40286729113,18379.0912941714,0.085695322350853,-0.02072477158862
male,42,0.001370939307999,,130200,1031.40286729113,18379.0912941714,0.085695322350853,-0.020726621747929
male,43,0.00147108151001,,,1031.40286729113,18379.0912941714,0.085695322350853,-0.020728806818659
male,44,0.001581249516331,,,1031.40286729113,18379.0912941714,0.085695322350853,-0.020731102319642
male,45,0.001701446639758,,,1209.18671661955,22080.0647318961,0.095960600023396,-0.023109774590753
male,46,0.001841694879371,,,1209.18671661955,22080.0647318961,0.095960600023396,-0.023111513585385
male,47,0.001991982680793,,136060,1209.18671661955,22080.0647318961,0.095960600023396,-0.023113333666567
male,48,0.002152314568143,,,1209.18671661955,22080.0647318961,0.095960600023396,-0.023115238576755
male,49,0.002332718673828,,,1209.18671661955,22080.0647318961,0.095960600023396,-0.023117707350339
male,50,0.002533205858356,,,1400.23389489024,24980.6078011098,0.112234968131794,-0.0236085235723
male,51,0.002753788196621,,,1400.23389489024,24980.6078011098,0.112234968131794,-0.023611249209339
male,52,0.003004509020299,,129850,1400.23389489024,24980.6078011098,0.112234968131794,-0.023614647588409
male,53,0.003275358133921,,,1400.23389489024,24980.6078011098,0.112234968131794,-0.023618815287201
male,54,0.003576387657155,,,1400.23389489024,24980.6078011098,0.112234968131794,-0.023623860439709
male,55,0.00392770333798,,,1679.57799416077,27020.3137687762,0.130096022623328,-0.023991248323118
male,56,0.004309271588098,,,1679.57799416077,27020.3137687762,0.130096022623328,-0.023997946722928
male,57,0.004741221850218,,114260,1679.57799416077,27020.3137687762,0.130096022623328,-0.02400667122701
male,58,0.005223619375225,,,1679.57799416077,27020.3137687762,0.130096022623328,-0.024017724316824
