sex,age,current ,former,never,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21+
male,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,7,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,9,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,10,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,11,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,12,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,13,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,14,0,0,1,,,,,,,,,,,,,,,,,,,,,,
male,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
male,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
male,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
male,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
male,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
male,20,0.226253678798047,0,0.773746321201953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
male,21,0.225095732505646,0.006051725878669,0.768852541615686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,22,0.223622059196732,0.016659551265921,0.759718389537348,0.49074724617711,0.50925275382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,23,0.22186182283931,0.027564651148944,0.750573526011746,0.321073828521587,0.333181149010599,0.345745022467814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,24,0.219842268617654,0.038738761945059,0.741418969437288,0.236295205111134,0.245205622355262,0.254452041065977,0.264047131467628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,25,0.211356787248137,0.049719736109456,0.738923476642408,0.185474454869903,0.192468480754774,0.199726243217884,0.20725768745873,0.215073133698709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,26,0.212443308861563,0.154658220058003,0.632898471080434,0.151632593566031,0.157350482237734,0.163283985838214,0.169441234955557,0.175830666772865,0.182461036629599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,27,0.21091756413492,0.153547481551104,0.635534954313976,0.12749290467719,0.132300513768561,0.137289412204888,0.142466436196431,0.147838679738983,0.153413504334666,0.15919854907928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,28,0.209523630228409,0.15253270100558,0.637943668766011,0.109417022114595,0.113543010706672,0.117824585527775,0.122267613553566,0.126878182996538,0.13166261164859,0.136627455538202,0.141779517914062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,29,0.208652966241341,0.1518988597082,0.639448174050459,0.095383624471021,0.098980429966479,0.102712866812118,0.106586049508339,0.110605285417405,0.114776082036031,0.119104154542227,0.123595433626715,0.128256073619664,0,0,0,0,0,0,0,0,0,0,0,0,0
male,30,0.205996694957365,0.195707358099684,0.598295946942951,0.084179912725965,0.087354239287564,0.090648266010322,0.09406650664804,0.097613645162922,0.101294542143937,0.10511424146721,0.109077977207562,0.11319118081069,0.117459488535786,0,0,0,0,0,0,0,0,0,0,0,0
male,31,0.208534919635705,0.198186522957476,0.593278557406819,0.084153827688852,0.087356727372948,0.090650847918512,0.094069185916983,0.097616425463979,0.101297427286912,0.105117235405569,0.109081084043854,0.113194404802164,0.117462834100226,0,0,0,0,0,0,0,0,0,0,0,0
male,32,0.210449718454689,0.200083681611893,0.589466599933418,0.084126008928712,0.087329838609455,0.090656833852835,0.094075397573925,0.097622871355277,0.101304116245271,0.105124176596764,0.109088286979292,0.113201879351916,0.117470590506554,0,0,0,0,0,0,0,0,0,0,0,0
male,33,0.212306533562093,0.201933822122624,0.585759644315283,0.084097748447803,0.0873022530079,0.090630002536322,0.094085937080742,0.097633808294633,0.101315465603885,0.105135953926486,0.109100508418415,0.113214561647288,0.117483751036527,0,0,0,0,0,0,0,0,0,0,0,9.99999982820299E-09
male,34,0.213695042659946,0.203344661078176,0.582960296261878,0.084070104749763,0.087275205884407,0.090603548159305,0.094060088977286,0.097650033482837,0.101332302625057,0.105153425852135,0.109118639190051,0.113233376109226,0.117503274969934,0,0,0,0,0,0,0,0,0,0,0,0
male,35,0.195238357525872,0.219613992410475,0.585147650063653,0.084042690118207,0.087249733823184,0.090578794369624,0.094035882579701,0.097626321025421,0.101355590674726,0.105177592067061,0.109143716684823,0.113259399247148,0.117530279410106,0,0,0,0,0,0,0,0,0,0,0,0
male,36,0.193260226734585,0.215705894486315,0.5910338787791,0.103624093086683,0.085357765175453,0.088617429978609,0.09200135352403,0.095515436347489,0.099165258483447,0.102958228576913,0.106840663579795,0.11086950068924,0.11505026055834,0,0,0,0,0,0,0,0,0,0,0,9.99999971718069E-09
male,37,0.190680029913914,0.211175058054312,0.598144912031774,0.100442832488426,0.105321299558039,0.086758858398146,0.09007441421515,0.093516595879719,0.097091200880734,0.100805831694925,0.104666522442781,0.108613375219665,0.112709059222415,0,0,0,0,0,0,0,0,0,0,0,9.99999993922529E-09
male,38,0.188686416340614,0.20734193888326,0.603971644776126,0.097424203943977,0.102159170545961,0.107124616117139,0.088247406139618,0.091622185614484,0.095126086294089,0.098766565402436,0.102549935157672,0.10648225443353,0.110497576351095,0,0,0,0,0,0,0,0,0,0,0,0
male,39,0.187075256856964,0.203968457243894,0.608956285899142,0.094556828313942,0.099155969815541,0.103978719139888,0.109036218890095,0.089825208904296,0.093262620929772,0.096833557437549,0.10054375518362,0.104399693639742,0.108407417745555,0,0,0,0,0,0,0,0,0,0,0,9.99999993922529E-09
male,40,0.177184314011979,0.216590943982086,0.606224742005934,0.083489698912337,0.087555559113876,0.091817331401223,0.096286432453943,0.100973069312938,0.083185481103116,0.0863725019304,0.089683526714769,0.093123572444778,0.096698688495028,0,0,0,0,0,0,0,0,0,0.090814128117593,0,9.99999993922529E-09
male,41,0.177028795984257,0.216456088965226,0.606515115050518,0.074346118629682,0.077976474335508,0.081776475530201,0.085759853557485,0.089937130928598,0.094317739602214,0.077705496191578,0.080685935711469,0.083782339734152,0.086999156402883,0,0,0,0,0,0,0,0,0,0.081760802593306,0.084952476782925,0
male,42,0.178435365300665,0.218241525089319,0.603323109610016,0.066674923757741,0.069936149227686,0.073353468484313,0.076930607249209,0.080680622730743,0.084613284072535,0.088737819750654,0.073110900825616,0.075918008862624,0.078834142390733,0,0,0,0,0,0,0,0,0,0.074138250590982,0.077032365293498,0.080039456763667
male,43,0.179574640890434,0.21970895550908,0.600716403600486,0.06015372655725,0.063101122867914,0.06618931421467,0.069425679975918,0.072813535103753,0.076365356266896,0.080090692843747,0.083997571547051,0.069207389664306,0.071866909026577,0,0,0,0,0,0,0,0,0,0.067632858050182,0.070273023515321,0.148882820366415
male,44,0.181009132765766,0.221553305757256,0.597437561476978,0.054546172211623,0.05722544631425,0.06003075000786,0.062970319351863,0.066051269457393,0.069276569496008,0.072658594048185,0.076205710141131,0.079925242872911,0.06585338136067,0,0,0,0,0,0,0,0,0,0.062016719065609,0.064437648842328,0.20880217683017
male,45,0.172106995547907,0.241631334507805,0.586261669944288,0.049677825014719,0.052123974777182,0.05468506001282,0.057367122742748,0.060177794038229,0.06312396199926,0.066208695660549,0.069443323105446,0.072835466570969,0.076391860823559,0,0,0,0,0,0,0,0,0,0.057120848280399,0.059350659282287,0.261493407691834
male,46,0.171931739414445,0.241500131446979,0.586568129138577,0.046171029439454,0.048451244992653,0.050837396826448,0.053336017132265,0.055953147719357,0.058696003615797,0.061572540283911,0.064583558131595,0.067740641606409,0.071050832899321,0,0,0,0,0,0,0,0,0,0.053535851923378,0.055625716398572,0.312446019030841
male,47,0.171268823301242,0.240693957671545,0.588037219027213,0.042970335199297,0.045098202504887,0.047325252574768,0.049656331711467,0.052097619489835,0.054655159696527,0.057336926087896,0.06014954948551,0.063092610451472,0.066177944530076,0,0,0,0,0,0,0,0,0,0.050251232206171,0.052212875875776,0.358975960186318
