age,sex,i,prev,f,r,DR
0,female,0.00000000000000000000,0.00000000000000000000,0.00000800000000000000,0.00000600000000000000,0.14293331266690800785
0,male,0.00000000000000000000,0.00000000000000000000,0.00000800000000000000,0.00000600000000000000,0.13144370753079900882
1,female,0.00000000000000000000,0.00000000000000000000,0.00000800000000000000,0.00000600000000000000,0.14293331266690800785
1,male,0.00000000000000000000,0.00000000000000000000,0.00000800000000000000,0.00000600000000000000,0.13144370753079900882
2,female,0.00000000000000000000,0.00000000000000000000,0.00000800000000000000,0.00000700000000000000,0.14293331266690800785
2,male,0.00000000000000000000,0.00000000000000000000,0.00000900000000000000,0.00000600000000000000,0.13144370753079900882
3,female,0.00000000000000000000,0.00000000000000000000,0.00001000000000000000,0.00000800000000000000,0.14293331266690800785
3,male,0.00000000000000000000,0.00000000000000000000,0.00001000000000000000,0.00000800000000000000,0.13144370753079900882
4,female,0.00000000000000000000,0.00000000000000000000,0.00001100000000000000,0.00000900000000000000,0.14293331266690800785
4,male,0.00000000000000000000,0.00000000000000000000,0.00001100000000000000,0.00000900000000000000,0.13144370753079900882
5,female,0.00000000000000000000,0.00000000000000000000,0.00001300000000000000,0.00001000000000000000,0.14293331266690800785
5,male,0.00000000000000000000,0.00000000000000000000,0.00001300000000000000,0.00001000000000000000,0.13144370753079900882
6,female,0.00000000000000000000,0.00000000000000000000,0.00001500000000000000,0.00001200000000000000,0.14293331266690800785
6,male,0.00000000000000000000,0.00000000000000000000,0.00001500000000000000,0.00001100000000000000,0.13144370753079900882
7,female,0.00000000000000000000,0.00000000000000000000,0.00001700000000000000,0.00001300000000000000,0.14293331266690800785
7,male,0.00000000000000000000,0.00000000000000000000,0.00001600000000000000,0.00001300000000000000,0.13144370753079900882
8,female,0.00000000000000000000,0.00000000000000000000,0.00001900000000000000,0.00001400000000000000,0.14293331266690800785
8,male,0.00000000000000000000,0.00000000000000000000,0.00001800000000000000,0.00001300000000000000,0.13144370753079900882
9,female,0.00000000000000000000,0.00000000000000000000,0.00002000000000000000,0.00001400000000000000,0.14293331266690800785
9,male,0.00000000000000000000,0.00000000000000000000,0.00001800000000000000,0.00001400000000000000,0.13144370753079900882
10,female,0.00000000000000000000,0.00000000000000000000,0.00002000000000000000,0.00001400000000000000,0.14293331266690800785
10,male,0.00000000000000000000,0.00000000000000000000,0.00001900000000000000,0.00001400000000000000,0.13144370753079900882
11,female,0.00000000000000000000,0.00000000000000000000,0.00002000000000000000,0.00001400000000000000,0.14293331266690800785
11,male,0.00000000000000000000,0.00000000000000000000,0.00001900000000000000,0.00001300000000000000,0.13144370753079900882
12,female,0.00000000000000000000,0.00000000000000000000,0.00001900000000000000,0.00001300000000000000,0.14293331266690800785
12,male,0.00000000000000000000,0.00000000000000000000,0.00001800000000000000,0.00001200000000000000,0.13144370753079900882
13,female,0.00000000000000000000,0.00000000000000000000,0.00002500000000000000,0.00001100000000000000,0.14293331266690800785
13,male,0.00000000000000000000,0.00000000000000000000,0.00002400000000000000,0.00001100000000000000,0.13144370753079900882
14,female,0.00000000000000000000,0.00000000000000000000,0.00003700000000000000,0.00001000000000000000,0.14293331266690800785
14,male,0.00000000000000000000,0.00000000000000000000,0.00003800000000000000,0.00001000000000000000,0.13144370753079900882
15,female,0.00000000000000000000,0.00000000000000000000,0.00005600000000000000,0.00000900000000000000,0.14293331266690800785
15,male,0.00000000000000000000,0.00000000000000000000,0.00005900000000000000,0.00000900000000000000,0.13144370753079900882
16,female,0.00000000000000000000,0.00000000000000000000,0.00008200000000000000,0.00000800000000000000,0.14293331266690800785
16,male,0.00000000000000000000,0.00000000000000000000,0.00008700000000000000,0.00000800000000000000,0.13144370753079900882
17,female,0.00000000000000000000,0.00000000000000000000,0.00011500000000000000,0.00000800000000000000,0.14293331266690800785
17,male,0.00000000000000000000,0.00000000000000000000,0.00012300000000000001,0.00000700000000000000,0.13144370753079900882
18,female,0.00000000000000000000,0.00000000000000000000,0.00015400000000000000,0.00000700000000000000,0.14293331266690800785
18,male,0.00000000000000000000,0.00000000000000000000,0.00016500000000000000,0.00000700000000000000,0.13144370753079900882
19,female,0.00000000000000000000,0.00000000000000000000,0.00019100000000000001,0.00000700000000000000,0.14293331266690800785
19,male,0.00000000000000000000,0.00000000000000000000,0.00020599999999999999,0.00000700000000000000,0.13144370753079900882
20,female,0.00000000000000000000,0.00000000000000000000,0.00021900000000000001,0.00000800000000000000,0.14293331266690800785
20,male,0.00000000000000000000,0.00000000000000000000,0.00023699999999999999,0.00000800000000000000,0.13144370753079900882
21,female,0.00000200000000000000,0.00000700000000000000,0.00023800000000000001,0.00000900000000000000,0.14293331266690800785
21,male,0.00000300000000000000,0.00001200000000000000,0.00025900000000000001,0.00000900000000000000,0.13144370753079900882
22,female,0.00000200000000000000,0.00001000000000000000,0.00024800000000000001,0.00001100000000000000,0.14293331266690800785
22,male,0.00000400000000000000,0.00001500000000000000,0.00027099999999999997,0.00001100000000000000,0.13144370753079900882
23,female,0.00000300000000000000,0.00001200000000000000,0.00025000000000000001,0.00001300000000000000,0.14293331266690800785
23,male,0.00000400000000000000,0.00001900000000000000,0.00027300000000000002,0.00001300000000000000,0.13144370753079900882
24,female,0.00000300000000000000,0.00001500000000000000,0.00024200000000000000,0.00001500000000000000,0.14293331266690800785
24,male,0.00000400000000000000,0.00002300000000000000,0.00026600000000000001,0.00001600000000000000,0.13144370753079900882
25,female,0.00000300000000000000,0.00001800000000000000,0.00047199999999999998,0.00427199999999999976,0.14293331266690800785
