age,sex,i,prev,f,r,DR
0,female,0.00000000000000000000,0.00000000100000000000,0.00001983500000000000,0.00001261000000000000,0.38676789343924200537
0,male,0.00000000000000000000,0.00000000000000000000,0.00002348852651183570,0.00001135164046783470,0.31694816195468200615
1,female,0.00000000000000000000,0.00000000100000000000,0.00001983500000000000,0.00001261000000000000,0.38676789343924200537
1,male,0.00000000000000000000,0.00000000000000000000,0.00002348852651183570,0.00001135164046783470,0.31694816195468200615
2,female,0.00000000000000000000,0.00000000100000000000,0.00002070500000000000,0.00001336800000000000,0.38676789343924200537
2,male,0.00000000000000000000,0.00000000000000000000,0.00002432868042537740,0.00001207147168463060,0.31694816195468200615
3,female,0.00000000000000000000,0.00000000100000000000,0.00002356400000000000,0.00001586200000000000,0.38676789343924200537
3,male,0.00000000000000000000,0.00000000000000000000,0.00002708918614129990,0.00001443663139696010,0.31694816195468200615
4,female,0.00000000000000000000,0.00000000100000000000,0.00002604900000000000,0.00001803000000000000,0.38676789343924200537
4,male,0.00000000000000000000,0.00000000000000000000,0.00002948962589427590,0.00001649329201637700,0.31694816195468200615
5,female,0.00000000000000000000,0.00000000200000000000,0.00002915700000000000,0.00002074100000000000,0.38676789343924200537
5,male,0.00000000000000000000,0.00000000000000000000,0.00003249017558549610,0.00001906411779064820,0.31694816195468200615
6,female,0.00000000000000000000,0.00000000200000000000,0.00003288500000000000,0.00002399300000000000,0.38676789343924200537
6,male,0.00000000000000000000,0.00000000000000000000,0.00003609083521496020,0.00002214910871977360,0.31694816195468200615
7,female,0.00000000000000000000,0.00000000200000000000,0.00003620500000000000,0.00002677100000000000,0.38676789343924200537
7,male,0.00000000000000000000,0.00000000000000000000,0.00003936814088718740,0.00002479359282458610,0.31694816195468200615
8,female,0.00000000000000000000,0.00000000200000000000,0.00003849600000000000,0.00002853400000000000,0.38676789343924200537
8,male,0.00000000000000000000,0.00000000000000000000,0.00004172198266393360,0.00002648340495023160,0.31694816195468200615
9,female,0.00000000000000000000,0.00000000200000000000,0.00003975800000000000,0.00002928000000000000,0.38676789343924200537
9,male,0.00000000000000000000,0.00000000000000000000,0.00004315236054519880,0.00002721854509670990,0.31694816195468200615
10,female,0.00000000000000000000,0.00000000200000000000,0.00003999000000000000,0.00002901100000000000,0.38676789343924200537
10,male,0.00000000000000000000,0.00000000000000000000,0.00004365927453098300,0.00002699901326402120,0.31694816195468200615
11,female,0.00000000000000000000,0.00000000200000000000,0.00003919300000000000,0.00002772500000000000,0.38676789343924200537
11,male,0.00000000000000000000,0.00000000000000000000,0.00004324272462128630,0.00002582480945216540,0.31694816195468200615
12,female,0.00000000000000000000,0.00000000200000000000,0.00003736600000000000,0.00002542400000000000,0.38676789343924200537
12,male,0.00000000000000000000,0.00000000000000000000,0.00004190271081610860,0.00002369593366114250,0.31694816195468200615
13,female,0.00000000000000000000,0.00000003200000000000,0.00005426600000000000,0.00002236100000000000,0.38676789343924200537
13,male,0.00000000000000000000,0.00000000000000000000,0.00005426305355939100,0.00002085545246793770,0.31694816195468200615
14,female,0.00000000000000000000,0.00000015300000000000,0.00009092300000000000,0.00001955300000000000,0.38676789343924200537
14,male,0.00000000000000000000,0.00000000000000000000,0.00008124721674661450,0.00001825803785171810,0.31694816195468200615
15,female,0.00000000000000000000,0.00000042300000000000,0.00014733699999999999,0.00001700000000000000,0.38676789343924200537
15,male,0.00000000000000000000,0.00000000000000000000,0.00012285520037800000,0.00001590368981248370,0.31694816195468200615
16,female,0.00000000000000000000,0.00000090400000000000,0.00022350600000000000,0.00001470200000000000,0.38676789343924200537
16,male,0.00000000000000000000,0.00000000000000000000,0.00017908700445300001,0.00001379240835023450,0.31694816195468200615
17,female,0.00000000000000000000,0.00000165400000000000,0.00031943299999999999,0.00001265800000000000,0.38676789343924200537
17,male,0.00000000000000000000,0.00000000000000000000,0.00024994262897199998,0.00001192419346497040,0.31694816195468200615
18,female,0.00000000000000000000,0.00000273500000000000,0.00043511599999999999,0.00001086900000000000,0.38676789343924200537
18,male,0.00000000000000000000,0.00000000000000000000,0.00033542207393499998,0.00001029904515669160,0.31694816195468200615
19,female,0.00000000000000000000,0.00000421700000000000,0.00060068999999999997,0.00001160800000000000,0.38676789343924200537
19,male,0.00000000000000000000,0.00000000000000000000,0.00049534304489099997,0.00001064261174371590,0.31694816195468200615
20,female,0.00000000000000000000,0.00000615300000000000,0.00079639900000000004,0.00001462000000000000,0.38676789343924200537
20,male,0.00000000000000000000,0.00000000000000000000,0.00071508172139600002,0.00001271182664905800,0.31694816195468200615
21,female,0.00000266500000000000,0.00000856500000000000,0.00102224299999999994,0.00001990400000000000,0.38676789343924200537
21,male,0.00000792861699842298,0.00002578528850550740,0.00099463810345000003,0.00001650668987271820,0.31694816195468200615
22,female,0.00000317900000000000,0.00001147500000000000,0.00127822200000000008,0.00002746100000000000,0.38676789343924200537
22,male,0.00000939166479553749,0.00003440906305328090,0.00133401219105200005,0.00002202720141469620,0.31694816195468200615
23,female,0.00000371800000000000,0.00001490400000000000,0.00156433599999999994,0.00003729100000000000,0.38676789343924200537
23,male,0.00001090192359576980,0.00004449331826676000,0.00173320398420399998,0.00002927336127499210,0.31694816195468200615
24,female,0.00000427900000000000,0.00001887300000000000,0.00188058400000000003,0.00004939300000000000,0.38676789343924200537
24,male,0.00001245938492588380,0.00005607223090887910,0.00219221348290499999,0.00003824516945360590,0.31694816195468200615
25,female,0.00000535600000000000,0.00002347400000000000,0.00368547699999999994,0.01319020199999999983,0.38676789343924200537
25,male,0.00001421054212325690,0.00006906421009019420,0.00364947410238399992,0.00447115559029799981,0.31694816195468200615
26,female,0.00000692500000000000,0.00002874900000000000,0.00694887700000000001,0.03945744300000000176,0.38676789343924200537
26,male,0.00001610813530200810,0.00008313764218381830,0.00604516813709300022,0.01332627897548900077,0.31694816195468200615
27,female,0.00000898600000000000,0.00003447400000000000,0.01167078600000000070,0.07885111799999999782,0.38676789343924200537
27,male,0.00001815216280726230,0.00009770375714631640,0.00937929558703200043,0.02660361532502699897,0.31694816195468200615
28,female,0.00001153800000000000,0.00004017100000000000,0.01785120399999999899,0.13137122600000000761,0.38676789343924200537
28,male,0.00002034263181176280,0.00011194678124400000,0.01365185645220000007,0.04430316463891199874,0.31694816195468200615
29,female,0.00001458200000000000,0.00004519100000000000,0.02549012999999999973,0.19701776700000001030,0.38676789343924200537
29,male,0.00002267956048996570,0.00012488308447700000,0.01886285073259800008,0.06642492691714399489,0.31694816195468200615
30,female,0.00001811800000000000,0.00004890300000000000,0.03458756500000000067,0.27579074100000000591,0.38676789343924200537
30,male,0.00002516297835003190,0.00013547831998900000,0.02501227842822599870,0.09296890215972400395,0.31694816195468200615
31,female,0.00002182800000000000,0.00005117400000000000,0.04286451000000000150,0.35143246900000002508,0.38676789343924200537
31,male,0.00002800111331333960,0.00014339246168000000,0.03057584791057900084,0.11817735833732100070,0.31694816195468200615
32,female,0.00002522000000000000,0.00005251800000000000,0.04886245599999999856,0.41081651699999999217,0.38676789343924200537
32,male,0.00003104746734918570,0.00014937527280400000,0.03461512576442900280,0.13762808248559199598,0.31694816195468200615
33,female,0.00002829500000000000,0.00005360600000000000,0.05258140399999999826,0.45394288700000001713,0.38676789343924200537
33,male,0.00003430201396815230,0.00015460452173200000,0.03713011198977599764,0.15132107460453300685,0.31694816195468200615
34,female,0.00003105200000000000,0.00005497100000000000,0.05402135400000000059,0.48081157699999999000,0.38676789343924200537
34,male,0.00003776471346636380,0.00016023973337300000,0.03812080658661799737,0.15925633469414599008,0.31694816195468200615
35,female,0.00003349200000000000,0.00005697700000000000,0.05318230499999999916,0.49142258700000002181,0.38676789343924200537
35,male,0.00004143551377535900,0.00016735058425699999,0.03758720955495799959,0.16143386275443100120,0.31694816195468200615
36,female,0.00003561400000000000,0.00005989600000000000,0.05006425800000000037,0.48577591900000000047,0.38676789343924200537
36,male,0.00004531434898149800,0.00017693475402900000,0.03552932089479299976,0.15785365878538701323,0.31694816195468200615
37,female,0.00003762600000000000,0.00006416200000000000,0.04594341200000000291,0.45932836700000001517,0.38676789343924200537
37,male,0.00005003231298894090,0.00019029534540799999,0.03287133622646400133,0.14755688121312299232,0.31694816195468200615
38,female,0.00003984400000000000,0.00007005599999999999,0.04309876700000000310,0.42833761300000000594,0.38676789343924200537
38,male,0.00005538107560945170,0.00020834807346400001,0.03113754717847299833,0.13630126206696599467,0.31694816195468200615
39,female,0.00004227000000000000,0.00007761400000000001,0.04153032200000000146,0.39280365499999997381,0.38676789343924200537
39,male,0.00006136051062546180,0.00023136515140599999,0.03032795375082100037,0.12408680134691700558,0.31694816195468200615
40,female,0.00004490300000000000,0.00008705899999999999,0.04123807599999999851,0.35272649400000000153,0.38676789343924200537
40,male,0.00006797045733244030,0.00025975870935900000,0.03044255594350800051,0.11091349905297599732,0.31694816195468200615
41,female,0.00004774400000000000,0.00009879100000000000,0.04222203100000000014,0.30810612999999997808,0.38676789343924200537
41,male,0.00007521071374115660,0.00029408093958599999,0.03148135375653299955,0.09678135518514299762,0.31694816195468200615
42,female,0.00005079100000000000,0.00011341400000000000,0.04448218599999999995,0.25894256199999998724,0.38676789343924200537
42,male,0.00008308102772263341,0.00033503297091600002,0.03344434718989700017,0.08169036974341800650,0.31694816195468200615
43,female,0.00005413600000000000,0.00013125999999999999,0.04867752999999999663,0.21473147400000000551,0.38676789343924200537
43,male,0.00009207945975168870,0.00038295738756100002,0.03674504026487499658,0.06940067273267699899,0.31694816195468200615
44,female,0.00005757000000000000,0.00015196700000000000,0.05353186199999999950,0.18001606900000000078,0.38676789343924200537
44,male,0.00010157468224700000,0.00043726359904600000,0.04045923736113100216,0.06087110572681300041,0.31694816195468200615
45,female,0.00006109500000000000,0.00017476400000000000,0.05904518300000000108,0.15479634600000000133,0.38676789343924200537
45,male,0.00011156657886200000,0.00049663612765099997,0.04458693847866199850,0.05610166872582599690,0.31694816195468200615
46,female,0.00006471000000000000,0.00019859800000000000,0.06521749200000000191,0.13907230600000000664,0.38676789343924200537
46,male,0.00012205513051599999,0.00055925921200699995,0.04912814361746999786,0.05509236172971500312,0.31694816195468200615
47,female,0.00006841400000000000,0.00022203500000000001,0.07204878900000000197,0.13284394899999998896,0.38676789343924200537
47,male,0.00013304045596500001,0.00062276798811000005,0.05408285277755400106,0.05784318473848199665,0.31694816195468200615
48,female,0.00007220900000000000,0.00024327800000000001,0.07953907600000000022,0.13611127400000000431,0.38676789343924200537
48,male,0.00014452284623700000,0.00068429127385900000,0.05945106595891500034,0.06435413775212500687,0.31694816195468200615
49,female,0.00007638000000000000,0.00026077000000000001,0.08705076000000000480,0.14675223200000001023,0.38676789343924200537
49,male,0.00015731954236100000,0.00074147896159299995,0.06458220672887400593,0.07385415193683099455,0.31694816195468200615
50,female,0.00008083700000000000,0.00027459799999999998,0.09392485500000000154,0.15527114000000000194,0.38676789343924200537
50,male,0.00017093241688200000,0.00079402332378600000,0.06906277106615499317,0.08258309728772199321,0.31694816195468200615
51,female,0.00008558000000000000,0.00028606399999999999,0.10016136100000000431,0.16166799900000000667,0.38676789343924200537
51,male,0.00018536132717000001,0.00084302213430400002,0.07289275897075800370,0.09054097380479800283,0.31694816195468200615
52,female,0.00009061000000000000,0.00029636899999999999,0.10576027600000000028,0.16594280799999999720,0.38676789343924200537
52,male,0.00020060605219699999,0.00088974317418799998,0.07607217044268299588,0.09772778148805999487,0.31694816195468200615
53,female,0.00009592600000000000,0.00030655500000000002,0.11072160100000000282,0.16809556600000000182,0.38676789343924200537
53,male,0.00021666629188400000,0.00093552283168700002,0.07860100548192899828,0.10414352033750699789,0.31694816195468200615
54,female,0.00010152799999999999,0.00031750000000000002,0.11504533699999999752,0.16812627599999999117,0.38676789343924200537
