age,gamma
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.09279
21,0.09279
22,0.09279
23,0.09279
24,0.09279
25,0.09279
26,0.09279
27,0.09279
28,0.09279
29,0.09279
30,0.09279
31,0.09279
32,0.09279
33,0.09279
34,0.09279
35,0.09279
36,0.09279
37,0.09279
38,0.09279
39,0.09279
40,0.09279
41,0.09279
42,0.09279
43,0.09279
44,0.09279
45,0.09279
46,0.09279
47,0.09279
48,0.09279
49,0.09279
50,0.09279
51,0.09279
52,0.09279
53,0.09279
54,0.09279
55,0.09279
56,0.09279
57,0.09279
58,0.09279
59,0.09279
60,0.09279
61,0.09279
62,0.09279
63,0.09279
64,0.09279
65,0.09279
66,0.09279
67,0.09279
68,0.09279
69,0.09279
70,0.09279
71,0.09279
72,0.09279
73,0.09279
74,0.09279
75,0.09279
76,0.09279
77,0.09279
78,0.09279
79,0.09279
80,0.09279
81,0.09279
82,0.09279
83,0.09279
84,0.09279
85,0.09279
86,0.09279
87,0.09279
88,0.09279
89,0.09279
90,0.09279
91,0.09279
92,0.09279
93,0.09279
94,0.09279
95,0.09279
96,0.09279
97,0.09279
98,0.09279
99,0.09279
100,0.09279
101,0.09279
102,0.09279
103,0.09279
104,0.09279
105,0.09279
106,0.09279
107,0.09279
108,0.09279
109,0.09279
110,0.09279
