delay,tob_prev,interv,popn,year,age,sex,bau_acmr.lower,bau_acmr.upper,bau_acmr.median,bau_acmr.mean,acmr.lower,acmr.upper,acmr.median,acmr.mean,acmr_gain.lower,acmr_gain.upper,acmr_gain.median,acmr_gain.mean,acmr_pcnt.lower,acmr_pcnt.upper,acmr_pcnt.median,acmr_pcnt.mean
20,constant,tax,non-maori,2041,62,male,549.4,549.4,549.4,549.4,539.6471471084627,545.0392748051561,542.2657062034767,542.2654105450764,-9.7,-4.3,-7.1,-7.1,-1.77,-0.79,-1.29,-1.29
20,constant,tax,non-maori,2061,62,male,591.5,591.5,591.5,591.5,564.5318264688943,580.0354888305818,572.5476815909553,572.4638936722981,-27.0,-11.5,-18.9,-19.0,-4.56,-1.94,-3.2,-3.22
20,constant,tfg,maori,2041,62,female,1022.2,1022.2,1022.2,1022.2,1022.1703281062171,1022.1703281062171,1022.1703281062171,1022.1703281062513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,constant,tfg,maori,2061,62,female,993.9,993.9,993.9,993.9,557.6102723740244,675.7453506419545,612.9060939796752,614.3894104375105,-436.3,-318.2,-381.0,-379.6,-43.9,-32.01,-38.34,-38.19
20,constant,tfg,non-maori,2041,62,male,549.4,549.4,549.4,549.4,549.3602435335672,549.3602435335672,549.3602435335672,549.3602435335888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,constant,tfg,non-maori,2061,62,male,591.5,591.5,591.5,591.5,521.0939590426144,548.3755763677473,535.2543931575568,535.1036923877779,-70.4,-43.1,-56.2,-56.4,-11.9,-7.29,-9.51,-9.53
20,decreasing,erad,maori,2041,62,female,1022.2,1022.2,1022.2,1022.2,702.4358678931208,801.0740445703568,749.5763619836519,750.2700754811038,-319.7,-221.1,-272.6,-271.9,-31.28,-21.63,-26.67,-26.6
20,decreasing,erad,maori,2061,62,female,993.9,993.9,993.9,993.9,721.5550841424093,876.0002420995353,798.7809048965053,798.770841573023,-272.4,-117.9,-195.2,-195.2,-27.41,-11.87,-19.64,-19.64
20,decreasing,erad,non-maori,2041,62,male,549.4,549.4,549.4,549.4,501.9811586256707,517.1037911870197,509.25888870184014,509.3214544883705,-47.4,-32.3,-40.1,-40.0,-8.62,-5.87,-7.3,-7.29
20,decreasing,erad,non-maori,2061,62,male,591.5,591.5,591.5,591.5,554.2300135576155,576.4473144806478,566.3767552702341,566.1264941721633,-37.3,-15.0,-25.1,-25.4,-6.3,-2.54,-4.25,-4.29
20,decreasing,tax,maori,2041,62,female,1022.2,1022.2,1022.2,1022.2,966.3654529006863,1001.0235923532731,985.2791986851087,984.8498508757958,-55.8,-21.1,-36.9,-37.3,-5.46,-2.07,-3.61,-3.65
20,decreasing,tax,maori,2061,62,female,993.9,993.9,993.9,993.9,872.8216116025254,953.860544046838,918.1266808682753,917.2122896610132,-121.1,-40.1,-75.8,-76.7,-12.19,-4.03,-7.63,-7.72
20,decreasing,tax,non-maori,2041,62,male,549.4,549.4,549.4,549.4,543.0806155029213,546.7634996136021,545.0144989768796,544.9839775977929,-6.3,-2.6,-4.3,-4.4,-1.14,-0.47,-0.79,-0.8
20,decreasing,tax,non-maori,2061,62,male,591.5,591.5,591.5,591.5,577.7485345713936,587.108045899224,582.9915906898246,582.847905432165,-13.7,-4.4,-8.5,-8.6,-2.32,-0.74,-1.44,-1.46
20,decreasing,tfg,maori,2041,62,female,1022.2,1022.2,1022.2,1022.2,1022.1703281062171,1022.1703281062171,1022.1703281062171,1022.1703281062513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,decreasing,tfg,maori,2061,62,female,993.9,993.9,993.9,993.9,721.5550841424093,876.0002420995353,798.7809048965053,798.7708415730224,-272.4,-117.9,-195.2,-195.2,-27.41,-11.87,-19.64,-19.64
20,decreasing,tfg,non-maori,2041,62,male,549.4,549.4,549.4,549.4,549.3602435335672,549.3602435335672,549.3602435335672,549.3602435335888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,decreasing,tfg,non-maori,2061,62,male,591.5,591.5,591.5,591.5,554.2300135576155,576.4473144806478,566.3767552702341,566.1264941721631,-37.3,-15.0,-25.1,-25.4,-6.3,-2.54,-4.25,-4.29
