delay,tob_prev,interv,popn,year,age,sex,bau_yld_rate.lower,bau_yld_rate.upper,bau_yld_rate.median,bau_yld_rate.mean,yld_rate.lower,yld_rate.upper,yld_rate.median,yld_rate.mean,yld_rate_gain.lower,yld_rate_gain.upper,yld_rate_gain.median,yld_rate_gain.mean,yld_rate_pcnt.lower,yld_rate_pcnt.upper,yld_rate_pcnt.median,yld_rate_pcnt.mean
20,constant,tfg,non-maori,2041,62,male,0.1109,0.229,0.1571,0.1606,0.11086575958446598,0.22904307818675607,0.15705978181844676,0.1606259827261213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,constant,tfg,non-maori,2061,62,male,0.1109,0.229,0.1571,0.1606,0.10599566519541678,0.2237254802747788,0.15193142168974633,0.1555050511648825,-0.0066,-0.0038,-0.0051,-0.0051,-4.91,-2.04,-3.23,-3.3
20,decreasing,erad,maori,2041,62,female,0.1715,0.3069,0.2268,0.2303,0.16102760528700236,0.2970003547418722,0.2160621986039138,0.21957361068529685,-0.0132,-0.0084,-0.0106,-0.0107,-6.71,-3.23,-4.7,-4.75
20,decreasing,erad,maori,2061,62,female,0.1715,0.3069,0.2268,0.2303,0.16272247542989401,0.29776792091262366,0.2177252582768837,0.22117407035371936,-0.0126,-0.0059,-0.0091,-0.0091,-6.1,-2.38,-3.97,-4.03
20,decreasing,erad,non-maori,2041,62,male,0.1109,0.229,0.1571,0.1606,0.10714722174493023,0.22546387848385566,0.1532934651035162,0.15699082663728867,-0.0046,-0.0028,-0.0036,-0.0036,-3.5,-1.48,-2.3,-2.34
20,decreasing,erad,non-maori,2061,62,male,0.1109,0.229,0.1571,0.1606,0.10794696894106429,0.22570744544989385,0.15430387566428178,0.1578158712570834,-0.0041,-0.0017,-0.0028,-0.0028,-2.97,-0.97,-1.75,-1.81
20,decreasing,tax,maori,2041,62,female,0.1715,0.3069,0.2268,0.2303,0.1704733719216703,0.3056225003172824,0.22552657044016466,0.22900001326614255,-0.0019,-0.0007,-0.0012,-0.0013,-0.91,-0.29,-0.55,-0.56
20,decreasing,tax,maori,2061,62,female,0.1715,0.3069,0.2268,0.2303,0.1685772917909464,0.30278030995970195,0.22335139907740578,0.22678954267739423,-0.0054,-0.0019,-0.0034,-0.0035,-2.56,-0.78,-1.5,-1.54
20,decreasing,tax,non-maori,2041,62,male,0.1109,0.229,0.1571,0.1606,0.11047394130483962,0.22863886286774363,0.15668425710998007,0.16026230411318879,-0.0005,-0.0002,-0.0004,-0.0004,-0.38,-0.12,-0.23,-0.23
20,decreasing,tax,non-maori,2061,62,male,0.1109,0.229,0.1571,0.1606,0.10999311491597977,0.22774037576134898,0.15619175508543887,0.15969193901235676,-0.0015,-0.0005,-0.0009,-0.0009,-1.04,-0.29,-0.58,-0.6
20,decreasing,tfg,maori,2041,62,female,0.1715,0.3069,0.2268,0.2303,0.1715311508921477,0.30685412503359955,0.22677427447071763,0.23026612693281354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,decreasing,tfg,maori,2061,62,female,0.1715,0.3069,0.2268,0.2303,0.16272247542989401,0.29776792091262366,0.2177252582768837,0.22117407035371947,-0.0126,-0.0059,-0.0091,-0.0091,-6.1,-2.38,-3.97,-4.03
20,decreasing,tfg,non-maori,2041,62,male,0.1109,0.229,0.1571,0.1606,0.11086575958446598,0.22904307818675607,0.15705978181844676,0.1606259827261209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,decreasing,tfg,non-maori,2061,62,male,0.1109,0.229,0.1571,0.1606,0.10794696894106429,0.22570744544989385,0.15430387566428178,0.15781587125708343,-0.0041,-0.0017,-0.0028,-0.0028,-2.97,-0.97,-1.75,-1.81
