delay,tob_prev,interv,popn,sex,bau_HALY.lower,bau_HALY.upper,bau_HALY.median,bau_HALY.mean,HALY.lower,HALY.upper,HALY.median,HALY.mean,HALY_gain.lower,HALY_gain.upper,HALY_gain.median,HALY_gain.mean,HALY_pcnt.lower,HALY_pcnt.upper,HALY_pcnt.median,HALY_pcnt.mean
20,decreasing,tfg,maori,All,25693486.0,30028519.0,28283518.0,28165534.0,25920577.049291003,30268520.147173997,28518857.297356702,28407103.26953731,145715.0,348988.0,239409.0,241569.0,0.52,1.23,0.85,0.86
20,decreasing,tax,maori,All,25693486.0,30028519.0,28283518.0,28165534.0,25851579.064931367,30154995.125055015,28415237.092754714,28303223.816023912,73389.0,216039.0,135159.0,137689.0,0.26,0.77,0.48,0.49
0,decreasing,erad,maori,All,25693486.0,30028519.0,28283518.0,28165534.0,26331718.49645753,30721246.519156933,28959635.48402615,28842496.378623977,473208.0,890159.0,672828.0,676962.0,1.69,3.17,2.39,2.4
0,decreasing,tfg,maori,All,25693486.0,30028519.0,28283518.0,28165534.0,25905668.246585824,30232213.259873886,28491934.3932133,28379203.690742932,110769.0,338402.0,209414.0,213669.0,0.39,1.2,0.74,0.76
0,decreasing,tax,maori,All,25693486.0,30028519.0,28283518.0,28165534.0,25855159.83899413,30163024.677027956,28419066.414701335,28307664.299623474,74162.0,229866.0,139164.0,142130.0,0.26,0.81,0.5,0.5
20,constant,erad,maori,All,25693486.0,30028519.0,28283518.0,28165534.0,26732970.038618986,31197231.687305104,29421293.18589385,29300695.338320035,962174.0,1311071.0,1133362.0,1135161.0,3.52,4.59,4.03,4.03
20,constant,tfg,maori,All,25693486.0,30028519.0,28283518.0,28165534.0,26242619.8938828,30582939.06564383,28841293.7395744,28721003.739383224,431213.0,681103.0,555979.0,555469.0,1.56,2.39,1.97,1.97
20,constant,tax,maori,All,25693486.0,30028519.0,28283518.0,28165534.0,25984304.942806005,30323230.78306015,28575792.360580713,28466179.227143597,182495.0,429889.0,298556.0,300645.0,0.65,1.5,1.06,1.07
20,decreasing,erad,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,133485652.05733816,153996140.37589863,145908068.0431154,145313529.20074436,708737.0,1348271.0,997836.0,1007521.0,0.49,0.93,0.69,0.7
20,decreasing,tfg,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,132915696.35907732,153224141.26277328,145139672.7791496,144550035.73255023,134182.0,383580.0,238967.0,244028.0,0.09,0.26,0.17,0.17
20,decreasing,tax,non-maori,All,132566205.0,152983447.0,144894289.0,144306008.0,132788170.83019061,153137606.53055933,145046857.85828847,144464665.80817384,81997.0,250678.0,156216.0,158658.0,0.06,0.17,0.11,0.11
