delay,tob_prev,interv,popn,sex,bau_LY.lower,bau_LY.upper,bau_LY.median,bau_LY.mean,LY.lower,LY.upper,LY.median,LY.mean,LY_gain.lower,LY_gain.upper,LY_gain.median,LY_gain.mean,LY_pcnt.lower,LY_pcnt.upper,LY_pcnt.median,LY_pcnt.mean
20,constant,tax,non-maori,female,90639051.0,90639051.0,90639051.0,90639051.0,90758306.25352977,90903232.49709362,90829630.76111531,90830288.5786003,119255.0,264181.0,190580.0,191237.0,0.13,0.29,0.21,0.21
20,decreasing,erad,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17527433.808413953,17666299.812688284,17595181.18635888,17595779.670689832,173959.0,312825.0,241707.0,242305.0,1.0,1.8,1.39,1.4
20,decreasing,tfg,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17414531.955398835,17500541.052460417,17453811.06267081,17455062.89536408,61057.0,147066.0,100336.0,101588.0,0.35,0.85,0.58,0.59
20,decreasing,tax,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17384595.83930204,17444397.70475776,17410812.995103136,17411915.89970112,31121.0,90923.0,57338.0,58441.0,0.18,0.52,0.33,0.34
0,decreasing,erad,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17540728.485752016,17714930.834430043,17624273.610287026,17625488.864581395,187254.0,361456.0,270799.0,272014.0,1.08,2.08,1.56,1.57
0,decreasing,tfg,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17397411.9286834,17490839.249622874,17437144.839654043,17439237.278226852,43937.0,137365.0,83670.0,85763.0,0.25,0.79,0.48,0.49
0,decreasing,tax,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17382365.609842747,17447156.977596622,17409940.490789644,17410886.66243354,28891.0,93682.0,56466.0,57412.0,0.17,0.54,0.33,0.33
20,constant,erad,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17781161.516083717,17910218.767157223,17842331.074770156,17843733.864552446,427687.0,556744.0,488856.0,490259.0,2.46,3.21,2.82,2.83
20,constant,tfg,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17538340.72113973,17648243.06339221,17592756.418062903,17593115.408150874,184866.0,294768.0,239282.0,239641.0,1.07,1.7,1.38,1.38
20,constant,tax,maori,male,17353475.0,17353475.0,17353475.0,17353475.0,17433521.27910976,17539256.839240354,17483412.061987914,17484426.341180466,80047.0,185782.0,129937.0,130952.0,0.46,1.07,0.75,0.75
20,decreasing,erad,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,86254148.55876935,86546085.78268743,86388844.13012129,86392315.36932103,345976.0,637913.0,480672.0,484143.0,0.4,0.74,0.56,0.56
20,decreasing,tfg,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,85966259.0546196,86077766.53587648,86012275.06743053,86015158.74029322,58086.0,169594.0,104102.0,106986.0,0.07,0.2,0.12,0.12
20,decreasing,tax,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,85946592.01425323,86025316.66844854,85981257.61185618,85982705.05485363,38419.0,117144.0,73085.0,74532.0,0.04,0.14,0.09,0.09
0,decreasing,erad,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,86291571.41902591,86676110.81091985,86465412.18217182,86471939.9660854,383399.0,767938.0,557240.0,563767.0,0.45,0.89,0.65,0.66
0,decreasing,tfg,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,85944519.51429251,86049681.71630472,85983961.19982708,85987763.92334042,36347.0,141509.0,75789.0,79591.0,0.04,0.16,0.09,0.09
0,decreasing,tax,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,85944529.63325171,86029610.83880135,85980282.96526583,85982358.08927535,36357.0,121438.0,72110.0,74185.0,0.04,0.14,0.08,0.09
20,constant,erad,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,86909534.72712232,87166339.89918137,87027370.04794398,87030773.48500967,1001362.0,1258167.0,1119197.0,1122601.0,1.17,1.46,1.3,1.31
20,constant,tfg,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,86158913.52878013,86337224.76321718,86242826.34842339,86243890.18125457,250741.0,429052.0,334654.0,335718.0,0.29,0.5,0.39,0.39
20,constant,tax,non-maori,male,85908173.0,85908173.0,85908173.0,85908173.0,86036745.6931434,86192027.35719846,86115196.03635204,86115235.46306266,128573.0,283855.0,207023.0,207063.0,0.15,0.33,0.24,0.24
